alert_id,system,target_language,translation_text,meta_model,meta_timestamp,meta_tokens,export_timestamp
WEATHER-CA-20260208-00,gpt4o,es,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,offline,2026-02-08T23:06:26.898997,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,gpt4o,hi,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,offline,2026-02-08T23:06:27.738596,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,google_nmt,es,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,offline,2026-02-08T23:06:27.738596,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,google_nmt,hi,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,offline,2026-02-08T23:06:27.738596,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,nllb200,es,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,offline,2026-02-08T23:06:27.738596,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,nllb200,hi,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,offline,2026-02-08T23:06:27.738596,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,gpt4o,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:28.643672,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,gpt4o,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:29.370848,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,google_nmt,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:29.370848,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,google_nmt,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:29.370848,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,nllb200,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:29.370848,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,nllb200,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:29.370848,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,gpt4o,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:30.174287,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,gpt4o,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:31.102484,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,google_nmt,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:31.102484,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,google_nmt,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:31.102484,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,nllb200,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:31.102484,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,nllb200,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:31.102484,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-03,gpt4o,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:31.970833,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-03,gpt4o,hi,खाली करें अभी के कारण वनाग्नि approaching the area. जीवन के लिए खतरनाक स्थिति expected.,offline,2026-02-08T23:06:32.780318,,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-03,google_nmt,es,Evacuar inmediatamente debido a incendio forestal approaching the area. peligro de muerte condiciones expected.,offline,2026-02-08T23:06:32.780318,,2026-02-08T23:07:22.517362
